filename trial 2ag_47c0 2ag_47c1 2ag_105c0 2ag_105c1 2ag_165c0 2ag_165c1 2ag_225c0 2ag_225c1 AphosNoPP_47c0 AphosNoPP_47c1 AphosNoPP_105c0 AphosNoPP_105c1 AphosNoPP_165c0 AphosNoPP_165c1 AphosNoPP_225c0 AphosNoPP_225c1 CKpCam_47c0 CKpCam_47c1 CKpCam_105c0 CKpCam_105c1 CKpCam_165c0 CKpCam_165c1 CKpCam_225c0 CKpCam_225c1 Epac1_47c0 Epac1_47c1 Epac1_105c0 Epac1_105c1 Epac1_165c0 Epac1_165c1 Epac1_225c0 Epac1_225c1 Pkc_47c0 Pkc_47c1 Pkc_105c0 Pkc_105c1 Pkc_165c0 Pkc_165c1 Pkc_225c0 Pkc_225c1 
Plc75-stim20hz-blockM1 0 24.17 21.99 50.4 54.55 52.74 53.23 43.21 44.88 513.25 359.03 1828.07 1770.87 2208.83 2243.44 2301.27 2293.65 0.0 0.0 20.32 21.1 46.36 50.55 73.92 86.22 32.87 34.27 92.57 93.47 109.54 110.64 94.56 97.52 2.18 0.0 10.59 120.27 14.44 89.2 20.78 125.6
Plc75-stim20hz-blockM1 1 13.84 11.25 43.75 45.9 49.43 50.25 42.56 40.87 484.87 509.91 1930.6 1865.83 2137.12 2089.84 2123.86 2005.66 0.0 0.0 24.29 18.45 46.32 54.0 65.16 68.66 18.32 14.83 97.31 98.2 93.51 92.06 89.14 95.09 4.49 0.0 15.7 63.93 17.6 121.81 22.25 182.88
Plc75-stim20hz-blockM1 2 21.86 19.43 56.85 55.88 47.75 48.89 39.67 41.9 320.53 343.18 1519.33 1413.16 1987.52 1941.18 2173.18 1952.69 0.0 0.0 26.9 24.63 46.8 55.92 71.21 82.43 15.28 11.76 75.86 71.9 85.13 85.96 87.07 88.1 2.98 0.0 13.1 68.58 11.94 132.17 20.44 107.1
Plc75-stim20hz-blockMGlu 0 34.53 37.85 120.22 117.63 117.19 117.55 95.95 93.68 314.54 331.41 1659.1 1555.0 2041.08 1923.79 2154.8 2188.59 0.0 0.0 28.78 26.13 49.92 54.51 71.79 81.11 18.72 19.95 85.12 87.5 98.45 97.77 74.46 74.12 3.84 0.0 41.31 10.78 45.58 66.23 50.43 27.36
Plc75-stim20hz-blockMGlu 1 43.94 50.63 115.61 112.05 115.11 117.04 91.19 91.68 303.56 270.55 1904.47 1900.26 2233.64 2369.47 2154.74 2154.11 0.0 0.0 27.66 30.05 48.35 41.55 72.78 73.01 25.67 31.2 105.42 105.61 98.06 99.65 97.62 100.37 4.92 0.0 35.61 13.47 51.08 7.93 60.76 27.45
Plc75-stim20hz-blockMGlu 2 55.37 51.66 120.46 119.89 109.46 107.02 89.72 92.66 435.61 513.49 2006.97 1933.72 2289.26 2123.42 2349.58 2396.36 0.0 0.0 24.97 25.83 54.88 68.66 81.37 87.24 26.53 37.34 105.93 107.91 113.47 116.52 97.8 94.06 4.73 0.0 39.28 27.45 53.9 24.34 62.24 12.27
Plc75-stim20hz-noReb_lowDaDec3 0 49.96 46.03 131.14 134.77 114.61 117.12 87.35 90.18 487.05 434.73 1786.47 1726.76 2015.56 1786.85 2391.66 2116.86 0.0 0.0 27.54 26.94 53.22 64.83 80.5 80.04 23.37 20.46 81.9 79.4 83.92 77.19 94.37 95.13 5.1 0.0 38.26 96.96 49.79 132.42 56.65 142.01
Plc75-stim20hz-noReb_lowDaDec3 1 35.94 24.04 131.54 131.19 120.0 121.3 94.97 92.87 437.24 476.66 1983.44 1880.23 2171.06 2079.57 2144.13 2160.72 0.0 0.0 24.16 28.73 46.32 53.49 79.77 81.66 12.79 15.85 103.86 102.93 106.27 105.36 89.68 87.2 6.3 0.0 37.07 68.53 46.1 126.58 60.08 119.38
Plc75-stim20hz-noReb_lowDaDec3 2 29.58 23.53 131.93 129.86 117.79 120.53 95.12 94.57 441.27 469.5 1457.39 1334.06 2220.85 2077.39 2249.72 2237.77 0.0 0.0 23.72 18.84 44.18 52.93 73.52 73.95 13.71 10.23 68.21 67.51 105.57 104.76 99.36 102.03 3.84 0.0 40.9 83.54 45.18 110.9 53.86 126.97
Plc75-stimtheta-blockM1 0 16.76 17.39 58.79 58.99 33.33 32.95 10.21 10.23 503.81 453.65 1945.36 1951.66 2637.48 2648.97 2979.02 3142.22 0.0 0.0 81.85 76.25 206.87 200.44 250.06 247.67 31.48 44.5 113.21 112.94 159.13 157.91 111.44 108.38 2.24 0.0 23.3 191.71 39.54 297.7 20.81 155.52
Plc75-stimtheta-blockM1 1 8.79 10.23 46.74 44.88 25.66 24.51 6.91 8.1 468.45 355.45 1743.65 1662.78 2642.9 2564.84 3095.93 3108.93 0.0 0.0 101.95 111.28 211.58 203.0 265.7 266.42 14.51 11.76 86.4 86.95 144.51 145.72 120.49 115.59 0.86 0.0 15.89 171.29 39.24 311.08 21.46 144.61
Plc75-stimtheta-blockM1 2 17.16 28.64 47.25 50.16 29.59 29.24 7.23 7.03 438.47 302.26 1980.43 1825.64 2799.91 2699.69 3170.27 3348.8 0.0 0.0 94.71 88.48 198.82 226.7 253.35 254.49 22.35 26.6 114.74 114.01 174.93 180.03 148.67 154.54 3.72 0.0 18.7 109.15 41.13 223.29 19.82 87.76
Plc75-stimtheta-blockMGlu 0 49.1 48.59 115.29 116.35 71.69 74.07 25.49 25.1 200.31 246.0 1941.13 1966.33 2706.23 2706.68 3153.64 3326.68 0.0 0.0 95.79 91.85 188.34 182.8 234.44 211.57 19.43 19.95 131.33 130.08 164.07 165.07 142.63 139.07 2.67 0.0 64.35 17.73 102.3 59.03 54.68 25.87
Plc75-stimtheta-blockMGlu 1 42.92 41.43 130.76 130.89 88.02 89.72 32.08 31.54 441.98 511.44 1949.7 1988.28 2696.08 2571.92 3084.58 3120.01 0.0 0.0 72.58 86.31 159.9 160.12 201.53 193.33 26.84 23.53 113.68 113.5 147.69 147.59 120.56 120.36 7.56 0.0 54.83 25.53 104.85 19.14 52.77 16.62
Plc75-stimtheta-blockMGlu 2 33.51 36.82 121.37 126.92 72.13 72.11 25.25 25.7 389.03 359.54 1654.08 1606.4 2671.09 2755.95 3135.32 3309.8 0.0 0.0 101.05 117.59 204.47 201.47 243.89 238.5 24.69 41.94 88.72 89.67 155.98 156.59 138.74 135.11 3.9 0.0 76.91 16.07 130.44 23.4 59.03 27.23
Plc75-stimtheta-noReb_DaDec1 0 49.9 36.82 135.8 135.66 75.49 74.41 22.49 21.61 409.63 388.18 2078.69 1987.72 2758.58 2757.31 3367.17 3504.49 0.0 0.0 102.22 114.09 220.56 204.32 271.77 266.85 18.36 26.6 111.48 107.74 175.87 166.99 136.04 134.3 5.23 0.0 65.66 138.81 117.38 320.89 52.42 105.95
Plc75-stimtheta-noReb_DaDec1 1 50.49 54.72 126.59 123.94 80.69 84.94 27.42 28.0 351.22 383.58 1886.21 1971.7 2789.7 2723.77 3154.16 3283.8 0.0 0.0 102.91 99.22 215.56 229.85 267.53 257.43 8.52 7.67 99.0 98.32 181.35 177.73 146.2 145.93 6.0 0.0 69.61 246.77 135.35 301.24 56.41 164.94
Plc75-stimtheta-noReb_DaDec1 2 58.54 62.4 137.01 138.35 82.99 81.02 29.29 27.7 521.98 409.15 2095.7 2151.98 2856.55 2893.74 3111.49 3345.98 0.0 0.0 86.54 91.42 181.84 196.14 228.98 247.33 38.0 36.82 116.66 113.88 186.66 185.36 125.89 126.41 4.06 0.0 69.95 228.27 116.52 242.34 53.2 93.17
