filename trial 2ag_15c0 2ag_15c1 2ag_70c0 2ag_70c1 2ag_130c0 2ag_130c1 2ag_190c0 2ag_190c1 AphosNoPP_15c0 AphosNoPP_15c1 AphosNoPP_70c0 AphosNoPP_70c1 AphosNoPP_130c0 AphosNoPP_130c1 AphosNoPP_190c0 AphosNoPP_190c1 CKpCam_15c0 CKpCam_15c1 CKpCam_70c0 CKpCam_70c1 CKpCam_130c0 CKpCam_130c1 CKpCam_190c0 CKpCam_190c1 Epac1_15c0 Epac1_15c1 Epac1_70c0 Epac1_70c1 Epac1_130c0 Epac1_130c1 Epac1_190c0 Epac1_190c1 Pkc_15c0 Pkc_15c1 Pkc_70c0 Pkc_70c1 Pkc_130c0 Pkc_130c1 Pkc_190c0 Pkc_190c1 
Gsfast-stim20hz-noReb_lowDaDec3 0 62.61 59.84 146.16 148.32 133.25 132.38 128.53 131.74 740.8 682.01 2268.04 2023.74 2430.22 2239.44 2020.05 1908.83 0.0 0.0 12.48 11.34 34.81 42.75 53.56 82.13 20.68 19.69 124.18 120.79 110.01 106.85 72.03 71.82 6.0 11.0 35.08 124.32 52.15 113.75 54.9 185.61
Gsfast-stim20hz-noReb_lowDaDec3 1 62.15 69.81 140.31 139.28 121.32 123.0 110.37 109.45 754.75 638.79 2073.27 2012.87 2352.62 2287.0 2499.33 2213.82 0.0 0.0 23.87 12.91 42.75 44.37 65.7 79.44 27.41 28.64 111.09 111.96 128.24 127.95 94.71 94.79 8.62 0.0 38.59 163.49 39.74 199.55 67.43 211.82
Gsfast-stim20hz-noReb_lowDaDec3 2 42.88 44.24 143.85 143.33 125.5 126.24 125.61 120.79 743.8 821.38 1938.31 1692.45 2432.98 2058.34 2293.4 2129.9 0.0 0.0 13.46 39.34 29.9 46.84 52.73 63.12 14.74 14.58 93.6 95.04 102.35 99.56 96.01 98.2 4.2 0.0 35.56 132.04 44.01 195.58 61.36 250.99
Gsfast-stimtheta-noReb_DaDec1 0 69.19 69.81 143.66 147.04 89.2 91.89 36.22 36.36 706.86 687.38 2111.26 1986.31 2869.21 2806.46 2855.56 2973.65 0.0 0.0 82.52 84.17 170.91 155.99 216.03 245.36 23.67 25.57 131.72 134.25 173.0 165.37 82.39 83.49 5.27 16.88 70.98 303.63 108.67 463.07 70.39 194.73
Gsfast-stimtheta-noReb_DaDec1 1 52.87 51.91 121.41 124.28 71.99 70.88 30.02 32.69 782.49 870.48 2158.29 2040.78 2690.96 2697.9 2702.68 2731.27 0.0 0.0 101.16 126.16 194.53 216.38 235.48 252.74 19.23 19.95 115.38 115.59 163.1 161.66 98.07 105.87 4.52 0.0 72.67 279.08 148.71 535.1 83.78 221.67
Gsfast-stimtheta-noReb_DaDec1 2 64.48 69.3 154.11 152.5 85.78 86.39 25.79 24.72 849.01 983.25 1933.49 1745.68 2757.43 2638.23 3040.38 2983.93 0.0 0.0 89.78 79.15 190.49 184.08 255.82 294.08 14.94 12.79 107.54 108.0 164.13 168.26 115.38 111.49 7.53 0.0 79.88 204.96 136.95 476.58 74.54 197.46
Gislow-stim20hz-noReb_lowDaDec3 0 49.7 59.33 135.22 136.04 126.55 124.62 94.49 96.07 748.9 622.68 1741.02 1621.4 2261.82 1813.92 2353.51 2122.74 0.0 0.0 24.23 19.22 49.98 55.15 71.16 71.26 17.14 11.76 85.6 87.5 111.68 108.98 94.78 98.62 5.41 0.0 42.45 143.54 54.38 113.16 61.93 107.87
Gislow-stim20hz-noReb_lowDaDec3 1 57.82 52.17 124.91 123.39 134.86 137.45 106.88 104.16 696.51 857.43 1566.67 1473.93 2026.75 2056.17 2027.64 1982.31 0.0 0.0 24.51 33.12 49.48 48.5 81.65 65.55 14.67 15.85 72.21 73.22 91.26 91.93 77.08 76.03 6.89 0.0 40.54 155.05 50.91 191.19 62.7 233.81
Gislow-stim20hz-noReb_lowDaDec3 2 60.6 66.74 136.15 139.33 133.4 131.06 116.6 119.04 776.82 636.23 1588.68 1487.32 2049.41 2018.92 2003.64 1703.57 0.0 0.0 19.76 15.17 38.08 61.5 55.37 77.7 23.74 27.87 76.53 74.59 87.69 88.48 78.8 76.42 5.53 2.05 34.4 94.66 48.19 176.23 54.84 179.18
Gislow-stimtheta-noReb_DaDec1 0 53.15 52.17 121.66 116.23 77.65 78.12 34.5 35.42 666.77 520.39 1456.98 1330.43 2604.01 2575.84 3313.89 3373.47 0.0 0.0 104.36 98.79 201.08 190.43 245.69 241.02 22.29 22.76 75.84 77.95 153.98 154.5 157.39 159.61 11.19 0.0 64.75 211.87 137.13 427.82 73.35 188.21
Gislow-stimtheta-noReb_DaDec1 1 61.52 62.91 146.93 146.74 97.64 98.11 41.28 40.23 687.27 704.77 1685.98 1575.41 2715.87 2638.19 3077.87 3170.26 0.0 0.0 83.86 74.71 173.69 194.14 219.02 283.3 23.34 26.85 83.82 83.75 156.63 157.52 127.07 129.1 6.03 0.0 67.13 292.12 136.83 423.77 88.19 141.24
Gislow-stimtheta-noReb_DaDec1 2 60.43 60.86 135.96 137.79 83.66 85.41 25.9 26.94 747.54 540.85 1557.57 1386.65 2622.98 2537.82 3089.29 3217.48 0.0 0.0 104.81 119.76 198.9 181.78 248.77 258.92 22.0 24.55 74.48 76.97 166.06 165.54 121.67 124.2 5.7 0.77 76.66 217.92 140.54 330.65 74.74 235.82
Da80-stim20hz-noReb_lowDaDec2 0 61.45 57.03 144.93 147.08 146.34 142.31 126.84 122.23 789.64 712.18 1740.52 1563.18 2611.83 2362.18 2781.39 2691.59 0.0 0.0 16.17 17.39 45.88 52.98 83.96 79.74 21.25 23.78 83.12 84.52 134.07 134.89 126.98 130.33 8.41 0.0 44.23 97.81 55.04 210.67 80.78 241.06
Da80-stim20hz-noReb_lowDaDec2 1 42.45 41.68 141.82 140.6 135.36 131.36 110.18 107.45 818.42 848.74 1726.22 1798.62 2447.62 2438.73 2473.01 2336.27 0.0 0.0 17.32 15.34 40.69 42.19 69.22 66.53 20.78 23.78 84.75 87.84 97.67 99.31 108.58 110.77 8.04 6.9 41.62 115.97 43.32 224.1 65.08 195.16
Da80-stim20hz-noReb_lowDaDec2 2 57.37 58.82 145.66 143.25 122.84 124.88 124.25 123.6 843.89 802.71 1725.59 1483.82 2475.59 2263.3 2572.75 2470.44 0.0 0.0 22.37 25.7 47.94 51.95 70.28 78.93 18.29 20.71 86.93 88.01 123.86 123.0 129.76 124.24 7.81 0.0 43.77 131.31 51.51 211.27 71.86 259.94
Da80-stim20hz-noReb_lowDaDec3 0 53.44 51.4 134.52 135.45 134.84 127.99 97.31 96.88 829.98 757.7 1517.0 1402.76 1862.05 1701.02 2067.1 1903.03 0.0 0.0 25.0 27.66 59.79 66.49 83.79 94.53 26.13 21.74 62.45 62.78 79.97 79.7 75.45 73.56 5.29 0.0 46.77 143.72 48.34 236.29 61.04 259.43
Da80-stim20hz-noReb_lowDaDec3 1 48.67 52.68 146.51 149.68 148.22 144.87 128.04 127.73 751.5 641.09 1654.89 1614.96 2003.51 1762.0 1800.74 1773.68 0.0 0.0 13.97 16.03 32.9 40.36 49.65 56.0 30.45 34.78 74.38 73.56 80.16 76.89 65.82 65.98 10.39 0.0 43.05 146.23 48.81 146.32 64.74 189.62
Da80-stim20hz-noReb_lowDaDec3 2 55.9 49.61 132.04 132.59 132.07 131.4 117.11 117.33 755.59 587.39 1431.76 1262.24 1920.03 1793.29 1961.27 1913.39 0.0 0.0 21.63 21.91 44.02 49.01 71.75 72.62 23.0 19.43 58.15 59.2 77.8 75.65 74.02 70.88 3.94 0.0 34.54 103.23 40.53 244.21 65.78 231.6
Da80-stimtheta-noReb_DaDec1 0 57.6 64.95 126.41 126.45 92.83 94.74 38.98 38.57 780.88 629.07 1610.33 1468.01 2287.34 2074.84 2688.86 2737.28 0.0 0.0 94.64 97.17 161.98 195.58 210.76 226.31 28.93 29.66 71.65 72.88 124.63 125.05 102.08 105.06 9.25 28.9 75.92 249.46 129.42 343.6 71.46 162.98
Da80-stimtheta-noReb_DaDec1 1 67.2 64.19 148.35 144.78 85.59 88.74 32.78 33.8 818.7 559.01 1517.74 1366.32 2492.14 2437.75 3048.36 3147.5 0.0 0.0 95.98 101.39 198.28 220.43 249.34 258.28 13.39 11.51 69.6 70.79 137.14 141.97 110.85 110.05 10.35 0.0 75.15 168.73 132.46 374.89 76.9 162.72
Da80-stimtheta-noReb_DaDec1 2 61.8 62.91 133.35 133.53 86.36 85.5 31.33 33.88 779.6 904.49 1840.4 1622.0 2340.19 2221.58 3074.41 3095.29 0.0 0.0 87.41 99.13 196.35 202.28 253.48 247.37 24.23 29.92 91.86 94.19 110.55 114.09 114.62 108.85 6.96 0.0 68.62 220.26 151.64 440.61 85.41 243.36
slowCKp-stim20hz-noReb_lowDaDec3 0 48.9 53.45 139.37 136.34 126.42 127.56 117.72 115.93 678.59 734.43 1492.33 1372.29 1996.08 1953.54 1947.32 1773.73 0.0 0.0 21.49 24.34 48.99 45.56 74.61 107.19 17.89 17.9 62.55 63.67 81.83 84.13 74.79 74.07 8.02 0.0 43.4 71.77 58.56 180.28 78.11 195.5
